n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,classic,4,5,cupy,0.07464855180005543,0.10103268823726694
500,100,10,5,classic,4,5,cupy,0.11792898399726255,0.0062025195720768304
1000,100,10,5,classic,4,5,cupy,0.3208506871989812,0.006890719617261879
2000,100,10,5,classic,4,5,cupy,1.0690725418011424,0.020232787933722227
5000,100,10,5,classic,4,5,cupy,6.367928136800765,0.019339547769650613
7500,100,10,5,classic,4,5,cupy,14.138458118597919,0.12298241484954786
10000,100,10,5,classic,4,5,cupy,25.659567226401123,0.14064298689358948
