n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,numba,4,5,cdist,0.43692244199919517,0.8605448236826089
500,100,10,5,numba,4,5,cdist,0.0566511242010165,0.0012719995034454125
1000,100,10,5,numba,4,5,cdist,0.2109505503991386,0.007022161454014307
2000,100,10,5,numba,4,5,cdist,0.9167856597952777,0.02521332043658017
5000,100,10,5,numba,4,5,cdist,6.080133184802253,0.11318455972581826
7500,100,10,5,numba,4,5,cdist,14.640086535396403,0.1475721191796817
10000,100,10,5,numba,4,5,cdist,26.349167473401756,0.21117019117313002
