n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
5000,100,5,5,numba,4,5,cupy,2.693027394200908,0.004652100778278631
5000,100,10,5,numba,4,5,cupy,4.940590517802048,0.01668573365117437
5000,100,15,5,numba,4,5,cupy,7.245543288801855,0.005749552314494832
5000,100,20,5,numba,4,5,cupy,9.555683930199303,0.02062163816009757
