n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,joblib,4,5,cdist,0.21292795820336324,0.3394227694482794
500,100,10,5,joblib,4,5,cdist,0.19951809619378763,0.0020544721488525383
1000,100,10,5,joblib,4,5,cdist,0.31663369679881725,0.009013897460947756
2000,100,10,5,joblib,4,5,cdist,0.6498464762000367,0.0686638949663065
5000,100,10,5,joblib,4,5,cdist,3.4031497275980653,0.10383986550102112
7500,100,10,5,joblib,4,5,cdist,7.530098510798416,0.20695281751949063
10000,100,10,5,joblib,4,5,cdist,13.44278312699753,0.19321431894662783
