n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,classic,4,5,cdist,0.022577850797097197,0.00016380772155590509
500,100,10,5,classic,4,5,cdist,0.12025419620040338,0.0017874541349376125
1000,100,10,5,classic,4,5,cdist,0.3789778856007615,0.01738783099278922
2000,100,10,5,classic,4,5,cdist,1.274716177204391,0.047846627386031036
5000,100,10,5,classic,4,5,cdist,7.384905720400274,0.06947495399544978
7500,100,10,5,classic,4,5,cdist,16.942840666597476,0.1321298320426572
10000,100,10,5,classic,4,5,cdist,31.110282048999217,0.2702191970827046
