n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,threading,4,5,cupy,0.08922098879847909,0.0020425598280097695
500,100,10,5,threading,4,5,cupy,0.3373808784002904,0.01139691309810339
1000,100,10,5,threading,4,5,cupy,0.8370204922000994,0.11215048093378793
2000,100,10,5,threading,4,5,cupy,1.5626713699995889,0.28596358914188114
5000,100,10,5,threading,4,5,cupy,3.5872107965973554,0.2101948611887478
7500,100,10,5,threading,4,5,cupy,6.505654767999658,0.11410174426973278
10000,100,10,5,threading,4,5,cupy,9.772965187201043,0.4258202701411817
