n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,multiprocessing,4,5,cdist,0.07186557360400911,0.001820087084760488
500,100,10,5,multiprocessing,4,5,cdist,0.17837304960703476,0.0069110920910368506
1000,100,10,5,multiprocessing,4,5,cdist,0.41713801760342906,0.015036734146745234
2000,100,10,5,multiprocessing,4,5,cdist,1.7198343004041816,0.029252701679922975
5000,100,10,5,multiprocessing,4,5,cdist,9.493429678000393,0.1549629704529001
7500,100,10,5,multiprocessing,4,5,cdist,21.013688285599347,0.45190586528100785
10000,100,10,5,multiprocessing,4,5,cdist,37.27318485900177,0.5638419632027328
