n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
5000,100,5,5,joblib,4,5,cupy,1.5517042202001903,0.042772058419271085
5000,100,10,5,joblib,4,5,cupy,2.317068460599694,0.02248656561744389
5000,100,15,5,joblib,4,5,cupy,3.2649979636000355,0.10781090310155592
5000,100,20,5,joblib,4,5,cupy,4.041775911999866,0.09336949228733891
