n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,numba,4,5,cupy,0.4193437286026892,0.8257246694464292
500,100,10,5,numba,4,5,cupy,0.043808473799435886,0.0002880733459459575
1000,100,10,5,numba,4,5,cupy,0.1415313179997611,0.001651967524338453
2000,100,10,5,numba,4,5,cupy,0.6719297775998712,0.003947487854638212
5000,100,10,5,numba,4,5,cupy,4.890001544001279,0.017903418507334238
7500,100,10,5,numba,4,5,cupy,11.58745608540048,0.037061838939398364
10000,100,10,5,numba,4,5,cupy,21.307870932400693,0.04949348750340219
