n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,joblib,4,5,cupy,0.2143508707988076,0.32469191424910465
500,100,10,5,joblib,4,5,cupy,0.180304503600928,0.004383292542633059
1000,100,10,5,joblib,4,5,cupy,0.24579868959990564,0.008738561955921868
2000,100,10,5,joblib,4,5,cupy,0.48964918600104285,0.012857945897251232
5000,100,10,5,joblib,4,5,cupy,2.2003043336007977,0.021756085322396614
7500,100,10,5,joblib,4,5,cupy,4.598988646602083,0.033634089823177865
10000,100,10,5,joblib,4,5,cupy,8.547231253798236,0.06591735043197453
