n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,multiprocessing,4,5,cupy,0.09551552280026954,0.004683195843961943
500,100,10,5,multiprocessing,4,5,cupy,0.18936471959896153,0.003444569283056149
1000,100,10,5,multiprocessing,4,5,cupy,0.4011287231987808,0.010578391388449182
2000,100,10,5,multiprocessing,4,5,cupy,1.5485950556001626,0.009432369597341715
5000,100,10,5,multiprocessing,4,5,cupy,8.1181038344017,0.03400592189305461
7500,100,10,5,multiprocessing,4,5,cupy,18.070747012201174,0.14965724726815985
10000,100,10,5,multiprocessing,4,5,cupy,31.92934044499998,0.4209645254616775
