n_space_points,space_dim,n_subsample_points,n_reruns_algo,method,n_workers,n_rerun_time,dist,time_mean,time_std
100,100,10,5,threading,4,5,cdist,0.06456426839868072,0.009518622274636967
500,100,10,5,threading,4,5,cdist,0.3189569524023682,0.04617083283892596
1000,100,10,5,threading,4,5,cdist,0.7623212815989973,0.012252194438226165
2000,100,10,5,threading,4,5,cdist,1.7674725003947969,0.24762299465188853
5000,100,10,5,threading,4,5,cdist,5.375362782200682,0.8454455942190436
7500,100,10,5,threading,4,5,cdist,9.710105699999257,0.6664747131196339
10000,100,10,5,threading,4,5,cdist,15.335355448999326,0.213257111689088
